Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
5,36,5-36,Silvo Silvo ,Hedyosmum bonplandianum Kunth.,Chloranthaceae R.Br. ex Sims,11,8,40,,,,
5,37,5-37,Silvo Silvo ,Hedyosmum bonplandianum Kunth.,Chloranthaceae R.Br. ex Sims,9,7,40,,,,
5,38,5-38,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,12,10,37,,,,
5,39,5-39,Silvo Silvo ,Hedyosmum bonplandianum Kunth.,Chloranthaceae R.Br. ex Sims,11,10,51,28,39,,
5,40,5-40,Laurel,Nectandra Sp1.,Lauraceae Juss.,10,8,51,,,,
5,41,5-41,Silvo Silvo ,Hedyosmum bonplandianum Kunth.,Chloranthaceae R.Br. ex Sims,10,5,54,,,,
5,42,5-42,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,9,7,42,,,,
5,43,5-43,Tuno amarillo,Miconia dolichorrhyncha Naudin,Melastomataceae Juss.,9,5,49,,,,
5,44,5-44,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,52,,,,
5,45,5-45,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,8,6,38,,,,
5,46,5-46,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,7,6,36,,,,
5,47,5-47,Chuhuaca,Hieronyma macrocarpa Müll.Arg.,Phyllanthaceae Martinov,8,6,55,,,,
5,48,5-48,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,44,,,,
5,49,5-49,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,11,7,44,,,,
5,50,5-50,Tuno amarillo,Miconia dolichorrhyncha Naudin,Melastomataceae Juss.,11,7,46,,,,
5,51,5-51,Niguito,Miconia resima Naudin,Melastomataceae Juss.,9,8,41,,,,
5,52,5-52,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,44,,,,
6,1,6-1,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,6,4,37,,,,
6,2,6-2,Gaque,Clusia rosea jacq,Clusiaceae Lindl.,8.5,5,100,69,44,,
6,3,6-3,Gaque,Clusia rosea jacq,Clusiaceae Lindl.,15,13,83,93,,,
6,4,6-4,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,11,9,72,,,,
6,5,6-5,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5.2,0,41,,,,
6,6,6-6,Falso roble,SD1,SF1,6,3,44.5,,,,
6,7,6-7,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,63,,,,
6,8,6-8,Tuno amarillo,Miconia dolichorrhyncha Naudin,Melastomataceae Juss.,8,6,35,,,,
6,9,6-9,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,10.2,6,45,,,,
6,10,6-10,Quina,Cinchona officinalis L.,Rubiaceae Juss.,12,5,84,,,,
6,11,6-11,Gaque,Clusia rosea jacq,Clusiaceae Lindl.,8,3,68,30,,,
6,12,6-12,café de monte,Psychotria Sp1.,Rubiaceae Juss.,14,9,101,,,,
6,13,6-13,café de monte,Psychotria Sp1.,Rubiaceae Juss.,12,5,81,,,,
6,14,6-14,Gaque,Clusia rosea jacq,Clusiaceae Lindl.,8,2,32,,,,
6,15,6-15,Guacharaco,Cupania americana L.,Sapindaceae Juss.,9,5,46,,,,
6,16,6-16,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,18,10,81,,,,
6,17,6-17,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,1,45,46,,,
6,18,6-18,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,33,,,,
6,19,6-19,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,69,,,,
7,1,7-1,Pomarroso,Syzygium jambos (L.) Alston,Myrtaceae Juss.,9,7,44,,,,
7,2,7-2,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,12,9,61,,,,
7,3,7-3,schefflera,Schefflera actinophylla (Endl.) Harms,Araliaceae Juss.,15,13,49,,,,
7,4,7-4,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,12,6,60,,,,
7,5,7-5,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,11,2,103,,,,
7,6,7-6,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,9,6,37,,,,
7,7,7-7,Cucharo,Myrsine sp1.,Primulaceae Batsch ex Borkh.,6,4,36,,,,
7,8,7-8,Niguito,Miconia resima Naudin,Melastomataceae Juss.,10,6,44,,,,
7,9,7-9,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,7,4,32,,,,
7,10,7-10,Cedrillo,Ruagea pubescens H. Karst.,Meliaceae Juss.,5,2,36,,,,
7,11,7-11,Anon 2,Annona sp2,Annonaceae Juss.,10,8,45,,,,
7,12,7-12,Falso roble,SD1,SF1,13,9,44,,,,
7,13,7-13,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,53,,,,
7,14,7-14,Chuhuaca,Hieronyma macrocarpa Müll.Arg.,Phyllanthaceae Martinov,12,8,73,,,,
7,15,7-15,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,6,44,42,39,,
7,16,7-16,Niguito,Miconia resima Naudin,Melastomataceae Juss.,8,6,36,,,,
7,17,7-17,Borrachero,Brugmansia aurea Lageth,Solanaceae Adans.,7,5,32,,,,
7,18,7-18,Falso roble,SD1,SF1,9,3,46,,,,
7,19,7-19,Gaque,Clusia rosea jacq,Clusiaceae Lindl.,6,2,33,,,,
7,20,7-20,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,12,4,51,,,,
7,21,7-21,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,13,6,56,,,,
7,22,7-22,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,14,6,32,,,,
7,23,7-23,Cajeto,Trichanthera gigantea (Humb. & Bonpl.) Nees,Acanthaceae Juss.,6,3,32,,,,
7,24,7-24,Huesito,Palicourea apicata Kunth,Rubiaceae Juss.,8,4,40,,,,
7,25,7-25,Zapato,Eschweilera antioquensis Dugand & Daniel,Lecythidaceae A.Rich.,13,6,66,,,,
7,26,7-26,Niguito,Miconia resima Naudin,Melastomataceae Juss.,13,6,45,,,,
7,27,7-27,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,10,8,47,,,,
7,28,7-28,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,6,37,,,,
7,29,7-29,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,7,5,36,,,,
7,30,7-30,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,8,4,34,,,,
7,31,7-31,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,4,33,,,,
7,32,7-32,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,8,3,39,,,,
7,33,7-33,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,7,4,32,,,,
7,34,7-34,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,6,48,,,,
7,35,7-35,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,8,1,51,33,52,,
7,36,7-36,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,3,43,,,,
7,37,7-37,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,7,5,40,,,,
7,38,7-38,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,8,4,37,,,,
7,39,7-39,Laurel,Nectandra Sp1.,Lauraceae Juss.,8,3,36,,,,
7,40,7-40,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,5,44,,,,
7,41,7-41,Falso roble,SD1,SF1,6,3,35,,,,
7,42,7-42,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,9,7,42,,,,
7,43,7-43,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,12,6,42,,,,
7,44,7-44,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,13,7,35,,,,
7,45,7-45,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,11,8,84,,,,
7,46,7-46,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,11,9,37,,,,
8,1,8-1,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,8,2,64,,,,
8,2,8-2,Cedrillo,Ruagea pubescens H. Karst.,Meliaceae Juss.,9,2,46,,,,
8,3,8-3,Falso roble,SD1,SF1,5,3,33,,,,
8,4,8-4,Niguito,Miconia resima Naudin,Melastomataceae Juss.,6,4,35,,,,
8,5,8-5,Cajeto,Trichanthera gigantea (Humb. & Bonpl.) Nees,Acanthaceae Juss.,15,1,113,61,,,
8,6,8-6,Niguito,Miconia resima Naudin,Melastomataceae Juss.,9,6,40,,,,
8,7,8-7,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,44,,,,
8,8,8-8,Yolombo,Panopsis yolombo (Posada-Ar.) Killip,Proteaceae Juss.,9,7,45,,,,
8,9,8-9,Aguacatillo,Persea caerulea (Ruiz & Pav.) Mez,Lauraceae Juss.,11,8,39,,,,
8,10,8-10,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,13,7,39,,,,
8,11,8-11,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,14,6,54,,,,
8,12,8-12,schefflera,Schefflera actinophylla (Endl.) Harms,Araliaceae Juss.,15,9,82,,,,
8,13,8-13,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,13,7,42,,,,
8,14,8-14,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,13,6,38,,,,
8,15,8-15,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,13,0,58,,,,
8,16,8-16,Tuno rosado,Miconia Sp2.,Melastomataceae Juss.,13,4,44,,,,
8,17,8-17,Niguito,Miconia resima Naudin,Melastomataceae Juss.,9,6,78,,,,
8,18,8-18,Niguito,Miconia resima Naudin,Melastomataceae Juss.,7,7,34,,,,
8,19,8-19,Niguito,Miconia resima Naudin,Melastomataceae Juss.,12,8,33,,,,
8,20,8-20,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,14,10,53,,,,
8,21,8-21,schefflera,Schefflera actinophylla (Endl.) Harms,Araliaceae Juss.,13,11,44,,,,
8,22,8-22,schefflera,Schefflera actinophylla (Endl.) Harms,Araliaceae Juss.,12,9,47,44,,,
8,23,8-23,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,11,8,32,,,,
8,24,8-24,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,13,8,61,,,,
8,25,8-25,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,10,7,71,,,,
8,26,8-26,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,9,6,38,,,,
8,27,8-27,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,10,6,32,,,,
8,28,8-28,Niguito,Miconia resima Naudin,Melastomataceae Juss.,10,6,39,,,,
8,29,8-29,Lacre,Vismia baccifera (L.) Planch. & Triana,Hypericaceae Juss.,10,7,38,,,,
8,30,8-30,Tuno esmeralda,Miconia squamulosa Triana,Melastomataceae Juss.,10,8,57,,,,
8,31,8-31,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,5,35,,,,
8,32,8-32,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,5,44,,,,
9,1,9-1,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,6,5,47,,,,
9,2,9-2,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,9,0,39,,,,
9,3,9-3,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,7,5,45,,,,
9,4,9-4,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9,7,37,,,,
9,5,9-5,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,8,0,40,,,,
9,6,9-6,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.8,0,41,,,,
9,7,9-7,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.3,0,37,,,,
9,8,9-8,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.5,0,38,,,,
9,9,9-9,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,8,6,35.5,,,,
9,10,9-10,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9.5,7,36,,,,
9,11,9-11,Niguito,Miconia resima Naudin,Melastomataceae Juss.,7,6,46,,,,
9,12,9-12,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.4,0,32,,,,
9,13,9-13,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.1,0,35,,,,
9,14,9-14,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.5,0,56,,,,
9,15,9-15,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,8,6,34,,,,
9,16,9-16,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.5,0,34.9,,,,
9,17,9-17,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,33,,,,
9,18,9-18,Tuno rosado,Miconia Sp2.,Melastomataceae Juss.,10.9,7,40,,,,
9,19,9-19,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,9.5,8,34,,,,
9,20,9-20,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,10,7,36,,,,
9,21,9-21,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.3,0,60,,,,
9,22,9-22,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.8,0,47,,,,
9,23,9-23,Arrayan,Eugenia albida Bonpl.,Myrtaceae Juss.,9,8,62,,,,
9,24,9-24,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,8,6,42,,,,
9,25,9-25,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,67,,,,
9,26,9-26,Niguito,Miconia resima Naudin,Melastomataceae Juss.,5,3,31.5,,,,
9,27,9-27,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,40,,,,
9,28,9-28,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6.2,0,46,,,,
9,29,9-29,Niguito,Miconia resima Naudin,Melastomataceae Juss.,8,6,34,,,,
9,30,9-30,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,40,,,,
9,31,9-31,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.5,0,34.2,,,,
10,1,10-1,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,7,0,53,,,,
10,2,10-2,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,40,,,,
10,3,10-3,Laurel,Nectandra Sp1.,Lauraceae Juss.,8,5,34,,,,
10,4,10-4,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,12,7,38,,,,
10,5,10-5,Tuno hoji ancho,Miconia Sp1.,Melastomataceae Juss.,14,8,37,34,32,,
10,6,10-6,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,9,0,37,,,,
10,7,10-7,Tuno rosado,Miconia Sp2.,Melastomataceae Juss.,9,7,33,,,,
10,8,10-8,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,72,,,,
10,9,10-9,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,13,9,41,,,,
10,10,10-10,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,51,,,,
10,11,10-11,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,33,,,,
10,12,10-12,Niguito,Miconia resima Naudin,Melastomataceae Juss.,8,6,35,,,,
10,13,10-13,Niguito,Miconia resima Naudin,Melastomataceae Juss.,8,6,35,,,,
10,14,10-14,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4.6,0,40,,,,
10,15,10-15,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.7,0,31.5,,,,
10,16,10-16,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,37,,,,
10,17,10-17,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.3,0,31.5,,,,
10,18,10-18,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,41,,,,
10,19,10-19,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,43,,,,
10,20,10-20,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4.5,0,35,,,,
10,21,10-21,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.8,0,42,,,,
10,22,10-22,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,34,,,,
10,23,10-23,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.5,0,33,,,,
10,24,10-24,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5.2,0,38,,,,
10,25,10-25,Niguito,Miconia resima Naudin,Melastomataceae Juss.,7.6,6,37,,,,
10,26,10-26,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.9,0,35,,,,
10,27,10-27,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4.8,0,34,,,,
10,28,10-28,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4.8,0,49,,,,
10,29,10-29,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,31.5,,,,
10,30,10-30,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.7,0,44,,,,
10,31,10-31,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.7,0,44,,,,
10,32,10-32,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.8,0,51,,,,
10,33,10-33,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,49.8,,,,
10,34,10-34,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.3,0,42,,,,
10,35,10-35,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.6,0,31.5,,,,
10,36,10-36,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.2,0,44,,,,
10,37,10-37,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.8,0,37.5,,,,
10,38,10-38,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.1,0,42,,,,
10,39,10-39,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3.8,0,39,,,,
10,40,10-40,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4.2,0,48,,,,
10,41,10-41,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5.3,0,54.3,,,,
10,42,10-42,Laurel anis,Nectandra Sp2.,Lauraceae Juss.,16,13,112,,,,
11,1,11-1,Niguito,Miconia resima Naudin,Melastomataceae Juss.,5,4,41,,,,
11,2,11-2,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,4,3,32,,,,
11,3,11-3,Niguito,Miconia resima Naudin,Melastomataceae Juss.,6,4,32,,,,
11,4,11-4,Amarillo,Beilschmiedia Sp.,Lauraceae Juss.,6,4,35,,,,
11,5,11-5,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,5,4,32,,,,
11,6,11-6,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,52,,,,
11,7,11-7,Niguito,Miconia resima Naudin,Melastomataceae Juss.,5,3,32,,,,
11,8,11-8,Tuno amarillo,Miconia dolichorrhyncha Naudin,Melastomataceae Juss.,6,5,40,,,,
11,9,11-9,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,4,42,,,,
11,10,11-10,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6,4,46,,,,
11,11,11-11,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,5,3,32,,,,
11,12,11-12,Falso roble,SD1,SF1,7,6,34,,,,
11,13,11-13,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,6,5,40,,,,
11,14,11-14,Niguito,Miconia resima Naudin,Melastomataceae Juss.,5,2,32,,,,
11,15,11-15,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,9,5,55,,,,
11,16,11-16,Aguacatillo,Persea caerulea (Ruiz & Pav.) Mez,Lauraceae Juss.,5,3,35,,,,
11,17,11-17,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,4,35,,,,
11,18,11-18,Aguacatillo,Persea caerulea (Ruiz & Pav.) Mez,Lauraceae Juss.,4,3,32,,,,
11,19,11-19,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,5,3,34,,,,
11,20,11-20,Tuno amarillo,Miconia dolichorrhyncha Naudin,Melastomataceae Juss.,5,4,35,,,,
11,21,11-21,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,10,8,38,,,,
11,22,11-22,Encenillo,Weinmannia pubescens Kunth,Cunoniaceae R.Br.,9,7,44,,,,
11,23,11-23,Aguacatillo,Persea caerulea (Ruiz & Pav.) Mez,Lauraceae Juss.,10,8,41,,,,
11,24,11-24,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,11,7,38,20,,,
11,25,11-25,guacharaco,Cupania americana L.,Sapindaceae Juss.,10,8,50,,,,
11,26,11-26,schefflera,Schefflera actinophylla (Endl.) Harms,Araliaceae Juss.,9,6,48,,,,
11,27,11-27,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,9,7,47,,,,
11,28,11-28,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,7,0,40,,,,
11,29,11-29,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,8,0,51,,,,
11,30,11-30,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,7,0,49,,,,
